DC Bus;Pack;Pack;pack-charge;Battery;Status
Ahr;V;Ahr;%;degC;Condition
1610.000;356.270;1610.000;16.100;28.310;Ok
1596.670;360.080;1596.670;15.970;28.310;Ok
1583.330;360.460;1583.330;15.830;28.310;Ok
1570.000;360.460;1570.000;15.700;28.310;Ok
1556.670;360.460;1556.670;15.570;28.310;Ok
1536.670;363.730;1536.670;15.370;28.310;Ok
1540.000;360.460;1540.000;15.400;28.310;Ok
1530.000;360.460;1530.000;15.300;28.310;Ok
1523.330;358.970;1523.330;15.230;28.310;Ok
1520.000;356.270;1520.000;15.200;28.310;Ok
1516.670;356.730;1516.670;15.170;28.310;Ok
1513.330;360.460;1513.330;15.130;28.310;Ok
1516.670;360.460;1516.670;15.170;28.310;Ok
1516.670;361.370;1516.670;15.170;28.310;Ok
1513.330;364.660;1513.330;15.130;28.310;Ok
1523.330;360.460;1523.330;15.230;28.310;Ok
1533.330;360.460;1533.330;15.330;28.310;Ok
1540.000;360.460;1540.000;15.400;28.310;Ok
1540.000;356.270;1540.000;15.400;28.310;Ok
1540.000;359.160;1540.000;15.400;28.310;Ok
1520.000;360.460;1520.000;15.200;28.310;Ok
1496.670;360.460;1496.670;14.970;28.310;Ok
1460.000;363.880;1460.000;14.600;28.310;Ok
1416.670;364.470;1416.670;14.170;28.310;Ok
1370.000;360.460;1370.000;13.700;28.310;Ok
1336.670;360.460;1336.670;13.370;28.310;Ok
1296.670;359.980;1296.670;12.970;28.310;Ok
1263.330;356.270;1263.330;12.630;28.310;Ok
1236.670;360.460;1236.670;12.370;28.310;Ok
1210.000;360.460;1210.000;12.100;28.310;Ok
1190.000;360.460;1190.000;11.900;28.310;Ok
1173.330;360.630;1173.330;11.730;28.310;Ok
1143.330;364.660;1143.330;11.430;28.310;Ok
1140.000;360.570;1140.000;11.400;28.310;Ok
1130.000;360.460;1130.000;11.300;28.310;Ok
1123.330;360.460;1123.330;11.230;28.310;Ok
1116.670;356.270;1116.670;11.170;28.310;Ok
1106.670;357.770;1106.670;11.070;28.310;Ok
1090.000;360.460;1090.000;10.900;28.310;Ok
1070.000;360.460;1070.000;10.700;28.310;Ok
1043.330;362.660;1043.330;10.430;28.310;Ok
986.670;364.660;986.670;9.870;28.310;Ok
960.000;356.270;960.000;9.600;28.310;Ok
903.330;359.160;903.330;9.030;28.310;Ok
873.330;356.290;873.330;8.730;28.310;Ok
846.670;360.460;846.670;8.470;28.310;Ok
830.000;360.080;830.000;8.300;28.310;Ok
810.000;356.270;810.000;8.100;28.310;Ok
783.330;360.460;783.330;7.830;28.310;Ok
773.330;364.530;773.330;7.730;28.310;Ok
0.000;363.730;760.000;7.600;28.310;Error
766.670;360.460;766.670;7.670;28.310;Ok
753.330;360.460;753.330;7.530;28.310;Ok
740.000;360.460;740.000;7.400;28.310;Ok
736.670;356.630;736.670;7.370;28.310;Ok
733.330;356.710;733.330;7.330;28.310;Ok
730.000;360.460;730.000;7.300;28.310;Ok
740.000;360.460;740.000;7.400;28.310;Ok
776.670;361.390;776.670;7.770;28.310;Ok
816.670;364.660;816.670;8.170;28.310;Ok
883.330;360.460;883.330;8.830;28.310;Ok
940.000;360.460;940.000;9.400;28.310;Ok
1006.670;360.460;1006.670;10.070;28.310;Ok
1083.330;356.270;1083.330;10.830;28.310;Ok
1120.000;359.140;1120.000;11.200;28.310;Ok
1113.330;360.460;1113.330;11.130;28.310;Ok
1086.670;360.460;1086.670;10.870;28.310;Ok
1046.670;363.880;1046.670;10.470;28.310;Ok
1020.000;364.470;1020.000;10.200;28.310;Ok
986.670;360.460;986.670;9.870;28.310;Ok
950.000;360.460;950.000;9.500;28.310;Ok
946.670;359.980;946.670;9.470;28.310;Ok
983.330;356.270;983.330;9.830;28.310;Ok
1040.000;360.460;1040.000;10.400;28.310;Ok
1123.330;360.460;1123.330;11.230;28.310;Ok
1206.670;360.460;1206.670;12.070;28.310;Ok
1290.000;364.660;1290.000;12.900;28.310;Ok
1380.000;362.660;1380.000;13.800;28.310;Ok
1436.670;364.660;1436.670;14.370;28.310;Ok
1480.000;364.660;1480.000;14.800;28.310;Ok
1510.000;367.550;1510.000;15.100;28.310;Ok
1503.330;368.810;1503.330;15.030;28.310;Ok
1503.330;364.660;1503.330;15.030;28.310;Ok
1556.670;364.660;1556.670;15.570;28.310;Ok
1600.000;364.470;1600.000;16.000;28.310;Ok
1646.670;360.460;1646.670;16.470;28.310;Ok
1660.000;364.530;1660.000;16.600;28.210;Ok
1590.000;364.660;1590.000;15.900;28.210;Ok
1523.330;360.460;1523.330;15.230;28.210;Ok
1476.670;360.420;1476.670;14.770;28.210;Ok
1446.670;356.270;1446.670;14.470;28.210;Ok
1396.670;360.080;1396.670;13.970;28.210;Ok
1410.000;360.460;1410.000;14.100;28.210;Ok
1350.000;360.460;1350.000;13.500;28.210;Ok
1350.000;364.530;1350.000;13.500;28.210;Ok
1273.330;363.730;1273.330;12.730;28.210;Ok
1253.330;360.460;1253.330;12.530;28.210;Ok
1260.000;360.460;1260.000;12.600;28.210;Ok
1273.330;358.950;1273.330;12.730;28.210;Ok
1313.330;356.270;1313.330;13.130;28.210;Ok
1330.000;360.460;1330.000;13.300;28.210;Ok
1333.330;359.160;1333.330;13.330;28.210;Ok
1326.670;360.460;1326.670;13.270;28.210;Ok
1263.330;360.460;1263.330;12.630;28.210;Ok
1210.000;363.880;1210.000;12.100;28.210;Ok
1186.670;364.470;1186.670;11.870;28.210;Ok
1233.330;360.460;1233.330;12.330;28.210;Ok
1263.330;360.460;1263.330;12.630;28.210;Ok
1233.330;359.980;1233.330;12.330;28.210;Ok
1246.670;356.270;1246.670;12.470;28.210;Ok
1346.670;360.460;1346.670;13.470;28.210;Ok
1523.330;356.270;1523.330;15.230;28.210;Ok
1560.000;360.460;1560.000;15.600;28.310;Ok
1520.000;364.660;1520.000;15.200;28.310;Ok
1486.670;362.440;1486.670;14.870;28.310;Ok
1530.000;360.440;1530.000;15.300;28.310;Ok
1613.330;360.460;1613.330;16.130;28.310;Ok
1670.000;357.580;1670.000;16.700;28.310;Ok
1566.670;356.290;1566.670;15.670;28.310;Ok
1536.670;360.460;1536.670;15.370;28.310;Ok
1703.330;356.270;1703.330;17.030;28.310;Ok
1823.330;364.470;1823.330;18.230;28.310;Ok
1726.670;360.460;1726.670;17.270;28.310;Ok
2486.670;360.570;2486.670;24.870;28.310;Ok
2250.000;360.460;2250.000;22.500;28.310;Ok
2690.000;352.050;2690.000;26.900;28.310;Ok
2306.670;347.880;2306.670;23.070;28.310;Ok
2446.670;358.970;2446.670;24.470;28.310;Ok
2100.000;364.660;2100.000;21.000;28.310;Ok
1940.000;364.660;1940.000;19.400;28.310;Ok
1926.670;362.660;1926.670;19.270;28.310;Ok
1913.330;364.660;1913.330;19.130;28.310;Ok
1896.670;363.730;1896.670;18.970;28.310;Ok
1930.000;360.460;1930.000;19.300;28.310;Ok
1923.330;360.460;1923.330;19.230;28.310;Ok
1940.000;358.970;1940.000;19.400;28.310;Ok
1983.330;356.270;1983.330;19.830;28.310;Ok
2066.670;360.460;2066.670;20.670;28.310;Ok
2143.330;362.660;2143.330;21.430;28.420;Ok
99999999.000;360.460;2030.000;20.300;28.420;Error
2013.330;361.370;2013.330;20.130;28.420;Ok
1993.330;364.660;1993.330;19.930;28.420;Ok
1960.000;360.460;1960.000;19.600;28.420;Ok
1983.330;360.460;1983.330;19.830;28.420;Ok
1950.000;360.460;1950.000;19.500;28.420;Ok
1936.670;360.460;1936.670;19.370;28.420;Ok
1936.670;357.580;1936.670;19.370;28.420;Ok
1940.000;356.290;1940.000;19.400;28.420;Ok
1943.330;360.460;1943.330;19.430;28.420;Ok
1966.670;360.460;1966.670;19.670;28.420;Ok
2003.330;360.630;2003.330;20.030;28.420;Ok
2043.330;364.660;2043.330;20.430;28.520;Ok
2103.330;360.570;2103.330;21.030;28.520;Ok
2163.330;360.460;2163.330;21.630;28.520;Ok
2236.670;360.460;2236.670;22.370;28.520;Ok
2310.000;356.270;2310.000;23.100;28.520;Ok
2383.330;357.770;2383.330;23.830;28.520;Ok
2453.330;360.460;2453.330;24.530;28.520;Ok
2543.330;360.460;2543.330;25.430;28.520;Ok
2620.000;362.660;2620.000;26.200;28.520;Ok
2690.000;364.660;2690.000;26.900;28.520;Ok
2723.330;363.730;2723.330;27.230;28.520;Ok
2546.670;360.460;2546.670;25.470;28.520;Ok
2526.670;360.460;2526.670;25.270;28.520;Ok
2493.330;358.970;2493.330;24.930;28.730;Ok
2456.670;356.270;2456.670;24.570;28.730;Ok
2423.330;360.460;2423.330;24.230;28.730;Ok
2373.330;360.460;2373.330;23.730;28.730;Ok
2336.670;360.460;2336.670;23.370;28.730;Ok
2320.000;361.370;2320.000;23.200;28.730;Ok
2253.330;364.660;2253.330;22.530;28.730;Ok
2210.000;360.460;2210.000;22.100;28.730;Ok
2180.000;360.460;2180.000;21.800;28.730;Ok
2170.000;360.460;2170.000;21.700;28.730;Ok
2173.330;356.270;2173.330;21.730;28.730;Ok
2180.000;359.160;2180.000;21.800;28.730;Ok
2186.670;360.460;2186.670;21.870;28.730;Ok
2186.670;360.460;2186.670;21.870;28.840;Ok
